DGCC_1-1	0.629	0.578
DGCC_1-2	0.641	0.584
DGCC_1-3	0.613	0.549
DGCC_1-7	0.741	0.53
DGCC_1-8	0.785	0.513
DGCC_1-9	0.822	0.503
DGCC_2-1	0.624	0.569
DGCC_2-10	0.768	0.478
DGCC_2-11	0.621	0.595
DGCC_2-12	0.817	0.466
DGCC_2-2	0.643	0.585
DGCC_2-3	0.776	0.506
DGCC_2-4	0.542	0.555
DGCC_2-5	0.608	0.585
DGCC_2-7	0.635	0.589
DGCC_2-8	0.62	0.608
DGCC_2-9	0.626	0.587
DGCC_3-1	0.819	0.501
DGCC_3-2	0.63	0.603
DGCC_3-3	0.793	0.514
DGCC_3-4	0.758	0.474
DGCC_3-6	0.631	0.595
DGCC_3-7	0.727	0.518
DGCM_1-1	0.807	0.455
DGCM_1-10	0.775	0.452
DGCM_1-11	0.815	0.462
DGCM_1-13	0.844	0.481
DGCM_1-14	0.654	0.558
DGCM_1-2	0.836	0.478
DGCM_1-3	0.621	0.527
DGCM_1-4	0.776	0.449
DGCM_1-6	0.847	0.48
DGCM_1-7	0.665	0.566
DGCM_1-8	0.671	0.57
DGCM_1-9	0.59	0.517
DGCM_2-1	0.832	0.469
DGCM_2-2	0.657	0.564
DGCM_2-6	0.739	0.427
DGCM_2-7	0.631	0.564
DGCM_2-8	0.826	0.473
